Description,Instrument Tag,SD Level,Note,,,,1,2,3,4,5,6,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Level 0,ESD 0,ESD 0,,,A,1,X,,X,,X,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB at helideck,ESB-191-02A,ESD 0,,,B,2,X,,X,,X,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB at helideck,ESB-191-02B,ESD 0,,,B,3,X,,X,,X,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB at helideck,ESB-191-02C,ESD 0,,,B,4,X,,X,,X,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB at helideck,ESB-191-02D,ESD 0,,,B,5,X,,X,,X,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB in CCR,ESB-152-08,ESD 0,1,,C,6,X,,X,,X,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB at lifeboat stations,ESB-021-02,ESD 0,,,D,7,X,,X,,X,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB at lifeboat stations,ESB-020-04,ESD 0,,,D,8,X,,X,,X,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB at lifeboat stations,ESB-022-04,ESD 0,,,D,9,X,,X,,X,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level 1 HMP,ESD 1-HMP,ESD 1-HMP,,,F,10,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,
SD from Level 0,ESD 0,ESD 1-HMP,,,G,11,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,
ESB in CCR,ESB-152-04,ESD 1-HMP,1,,H,12,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,
Confirmed Gas,2-11-31-00002I,ESD 1-HMP,8,,I,13,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,
Confirmed Gas,2-12-32- 00003I,ESD 1-HMP,8,,I,14,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,
Confirmed Gas,2-13-32-00004I,ESD 1-HMP,8,,I,15,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,
Confirmed Gas,2-14-32-00004I,ESD 1-HMP,8,,I,16,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,
Confirmed Gas,1-15-32-00004I,ESD 1-HMP,8,,I,17,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,
Level 2.1 HMP,ESD 2-1-HMP,ESD 2-1-HMP,,,J,18,,,,X,,,,,,X,,,,,X,,D2,X,D2,X,,,,,,D3,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD from Level 1 HMP,ESD 1-HMP,ESD 2-1-HMP,,,K,19,,,,X,,,,,,X,,,,,X,,D3,X,D3,X,,,,,,D3,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB in CCR,ESB-152-05,ESD 2-1-HMP,1,,L,20,,,,X,,,,,,X,,,,,X,,D3,X,D3,X,,,,,,D3,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB at helideck,ESB-191-03A,ESD 2-1-HMP,,,M,21,,,,X,,,,,,X,,,,,X,,D3,X,D3,X,,,,,,D3,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB at helideck,ESB-191-03B,ESD 2-1-HMP,,,M,22,,,,X,,,,,,X,,,,,X,,D3,X,D3,X,,,,,,D3,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB at helideck,ESB-191-03C,ESD 2-1-HMP,,,M,23,,,,X,,,,,,X,,,,,X,,D3,X,D3,X,,,,,,D3,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB at helideck,ESB-191-03D,ESD 2-1-HMP,,,M,24,,,,X,,,,,,X,,,,,X,,D3,X,D3,X,,,,,,D3,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB at lifeboat stations,ESB-021-03,ESD 2-1-HMP,,,N,25,,,,X,,,,,,X,,,,,X,,D3,X,D3,X,,,,,,D3,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB at lifeboat stations,ESB-020-02,ESD 2-1-HMP,,,N,26,,,,X,,,,,,X,,,,,X,,D3,X,D3,X,,,,,,D3,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB at lifeboat stations,ESB-022-02,ESD 2-1-HMP,,,N,27,,,,X,,,,,,X,,,,,X,,D3,X,D3,X,,,,,,D3,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB in Wellhead Areas,ESB-616-01,ESD 2-1-HMP,3,,O,28,,,,X,,,,,,X,,,,,X,,D3,X,D3,X,,,,,,D3,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB in Wellhead Areas,ESB-617-01,ESD 2-1-HMP,3,,O,29,,,,X,,,,,,X,,,,,X,,D3,X,D3,X,,,,,,D3,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB in Wellhead Areas,ESB-624-01,ESD 2-1-HMP,3,,O,30,,,,X,,,,,,X,,,,,X,,D3,X,D3,X,,,,,,D3,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB in Wellhead Areas,ESB-625-01,ESD 2-1-HMP,3,,O,31,,,,X,,,,,,X,,,,,X,,D3,X,D3,X,,,,,,D3,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB in Wellhead Areas,ESB-701-23,ESD 2-1-HMP,3,,O,32,,,,X,,,,,,X,,,,,X,,D3,X,D3,X,,,,,,D3,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB in Wellhead Areas,ESB-701-24,ESD 2-1-HMP,3,,O,33,,,,X,,,,,,X,,,,,X,,D3,X,D3,X,,,,,,D3,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESB in Wellhead Areas,ESB-731-13,ESD 2-1-HMP,3,,O,34,,,,X,,,,,,X,,,,,X,,D3,X,D3,X,,,,,,D3,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Confirmed Fire, WH",1-14-32-00001I,ESD 2-1-HMP,,,P,35,,,,X,,,,,,X,,,,,X,,D3,X,D3,X,,,,,,D3,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Confirmed Fire, WH",1-15-32-00001I,ESD 2-1-HMP,,,P,36,,,,X,,,,,,X,,,,,X,,D3,X,D3,X,,,,,,D3,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLARE K.O. DRUM,2-LSHH-17101,ESD 2-1-HMP,,,Q,37,,,,X,,,,,,X,,,,,X,,D3,X,D3,X,,,,,,D3,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level 2.2A HMP,ESD 2-2A-HMP,ESD 2-2A-HMP,,,R,38,,,,X,,,D1,,,,,,,,,,,,,,,,,D2,D2,,,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,,,,,,D2,D2,X,X,
SD from Level 0,ESD 0,ESD 2-2A-HMP,,,S,39,,,,X,,,D1,,,,,,,,,,,,,,,,,D2,D2,,,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,,,,,,D2,D2,X,X,
ESB in CCR,ESB-152-06,ESD 2-2A-HMP,1,,T,40,,,,X,,,D1,,,,,,,,,,,,,,,,,D2,D2,,,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,,,,,,D2,D2,X,X,
